gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,conm,adrrq,curcdq,datacqtr,datafqtr,actq,cheq,dlcq,dpq,epsx12,req,saleq,wcapq,xoprq,aolochy,apalchy,capxy,chechy,dvy,invchy,niy,recchy,saley,exchg,costat,prccq
001045,03/31/2009,2009,1,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2009Q1,2009Q1,5362.0000,3326.0000,1469.0000,272.0000,-8.3000,-7031.0000,4839.0000,-3546.0000,4748.0000,,,169.0000,-4.0000,0.0000,,-375.0000,,4839.0000,14,A,3.1900
001045,06/30/2009,2009,2,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2009Q2,2009Q2,5140.0000,3268.0000,1228.0000,282.0000,-3.8600,-6932.0000,4889.0000,-3130.0000,4740.0000,,,602.0000,0.0000,0.0000,,-765.0000,,9728.0000,14,A,4.0200
001045,09/30/2009,2009,3,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2009Q3,2009Q3,6453.0000,4571.0000,1132.0000,272.0000,-5.2400,-7188.0000,5127.0000,-1448.0000,4967.0000,,,1103.0000,-20.0000,0.0000,,-1124.0000,,14855.0000,14,A,7.9500
001045,12/31/2009,2009,4,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2009Q4,2009Q4,6642.0000,4859.0000,1114.0000,278.0000,-4.9900,-7860.0000,5062.0000,-1086.0000,5103.0000,504.0000,-75.0000,1521.0000,-38.0000,0.0000,-79.0000,-1468.0000,43.0000,19917.0000,14,A,7.7300
001045,03/31/2010,2010,1,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2010Q1,2010Q1,6834.0000,5006.0000,1140.0000,267.0000,-5.2000,-8276.0000,5068.0000,-1407.0000,5099.0000,,,317.0000,36.0000,0.0000,,-505.0000,,5068.0000,14,A,9.1100
001045,06/30/2010,2010,2,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2010Q2,2010Q2,7344.0000,5545.0000,1829.0000,267.0000,-3.8400,-8326.0000,5674.0000,-2015.0000,5211.0000,,,729.0000,44.0000,0.0000,,-516.0000,,10742.0000,14,A,6.7800
001045,09/30/2010,2010,3,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2010Q3,2010Q3,6837.0000,5004.0000,1776.0000,274.0000,-2.1500,-8049.0000,5842.0000,-2102.0000,5226.0000,,,1412.0000,49.0000,0.0000,,-373.0000,,16584.0000,14,A,6.2700
001045,12/31/2010,2010,4,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2010Q4,2010Q4,6838.0000,4946.0000,1883.0000,285.0000,-1.4100,-8362.0000,5586.0000,-1942.0000,5233.0000,456.0000,-19.0000,1962.0000,15.0000,0.0000,-81.0000,-471.0000,29.0000,22170.0000,14,A,7.7900
001045,03/31/2011,2011,1,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2011Q1,2011Q1,8825.0000,6254.0000,1962.0000,276.0000,-1.2000,-8376.0000,5533.0000,-1028.0000,5489.0000,,,359.0000,118.0000,0.0000,,-436.0000,,5533.0000,14,A,6.4600
001045,06/30/2011,2011,2,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2011Q2,2011Q2,7997.0000,5633.0000,1830.0000,266.0000,-2.0200,-8942.0000,6114.0000,-1769.0000,5925.0000,,,748.0000,150.0000,0.0000,,-722.0000,,11647.0000,14,A,5.4000
001045,09/30/2011,2011,3,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2011Q3,2011Q3,6838.0000,4770.0000,1453.0000,273.0000,-2.9300,-9274.0000,6376.0000,-2085.0000,6064.0000,,,1234.0000,136.0000,0.0000,,-884.0000,,18023.0000,14,A,2.9600
001045,12/31/2011,2011,4,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2011Q4,2011Q4,6757.0000,4739.0000,1518.0000,271.0000,-5.9100,-11550.0000,5999.0000,-1873.0000,5744.0000,693.0000,-354.0000,1610.0000,115.0000,0.0000,-64.0000,-1979.0000,-164.0000,24022.0000,14,A,0.3500
001045,03/31/2012,2012,1,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2012Q1,2012Q1,7778.0000,5590.0000,1659.0000,260.0000,-9.5500,-13130.0000,6037.0000,-1765.0000,5855.0000,,,238.0000,92.0000,0.0000,,-1660.0000,,6037.0000,14,A,0.4920
001045,06/30/2012,2012,2,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2012Q2,2012Q2,7984.0000,5752.0000,1654.0000,261.0000,-9.4200,-13417.0000,6453.0000,-2082.0000,5944.0000,,,733.0000,88.0000,0.0000,,-1900.0000,,12490.0000,14,A,0.5490
001045,09/30/2012,2012,3,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2012Q3,2012Q3,7303.0000,5073.0000,1544.0000,255.0000,-9.6500,-11826.0000,6428.0000,-2283.0000,5910.0000,,,1153.0000,225.0000,0.0000,,-2139.0000,,18918.0000,14,A,0.3650
001045,12/31/2012,2012,4,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2012Q4,2012Q4,7072.0000,4742.0000,1419.0000,239.0000,-5.6000,-12442.0000,5937.0000,-2232.0000,5637.0000,168.0000,375.0000,1888.0000,197.0000,0.0000,17.0000,-1876.0000,-222.0000,24855.0000,14,A,0.7950
001045,03/31/2013,2013,1,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2013Q1,2013Q1,7525.0000,5097.0000,1286.0000,246.0000,-2.0200,-12833.0000,6098.0000,-2465.0000,5708.0000,,,885.0000,126.0000,0.0000,,-341.0000,,6098.0000,14,A,4.1500
001045,06/30/2013,2013,2,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2013Q2,2013Q2,9635.0000,7073.0000,1327.0000,248.0000,-0.4200,-12674.0000,6449.0000,-1034.0000,5676.0000,,,1804.0000,124.0000,0.0000,,-122.0000,,12547.0000,14,A,4.0300
001045,09/30/2013,2013,3,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2013Q3,2013Q3,10241.0000,7698.0000,1359.0000,245.0000,1.2800,-12385.0000,6828.0000,143.0000,5867.0000,,,2400.0000,237.0000,0.0000,,167.0000,,19375.0000,14,A,4.1100
001045,12/31/2013,2013,4,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2013Q4,2013Q4,14323.0000,10286.0000,1446.0000,282.0000,-11.2500,-13328.0000,7337.0000,517.0000,6505.0000,-362.0000,71.0000,3114.0000,660.0000,0.0000,,-1834.0000,-93.0000,26712.0000,14,A,25.2500
001045,03/31/2014,2014,1,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2014Q1,2014Q1,15193.0000,10611.0000,1441.0000,360.0000,-6.2600,-12951.0000,9995.0000,114.0000,9038.0000,,,1047.0000,119.0000,0.0000,,480.0000,,9995.0000,14,A,36.6000
001045,06/30/2014,2014,2,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2014Q2,2014Q2,14966.0000,10341.0000,1523.0000,369.0000,-5.9400,-11799.0000,11356.0000,-122.0000,9338.0000,,,2678.0000,70.0000,0.0000,,1343.0000,,21351.0000,14,A,42.9600
001045,09/30/2014,2014,3,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2014Q3,2014Q3,13450.0000,8774.0000,1439.0000,387.0000,-5.4900,-10979.0000,11139.0000,-438.0000,9267.0000,,,4006.0000,38.0000,72.0000,,2285.0000,,32490.0000,14,A,35.4800
001045,12/31/2014,2014,4,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2014Q4,2014Q4,12112.0000,8077.0000,1708.0000,396.0000,4.0200,-13121.0000,10160.0000,-1323.0000,8422.0000,-826.0000,110.0000,5311.0000,-146.0000,144.0000,,2882.0000,-160.0000,42650.0000,14,A,53.6300
001045,03/31/2015,2015,1,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2015Q1,2015Q1,14129.0000,9930.0000,1284.0000,396.0000,4.6900,-12292.0000,9827.0000,-104.0000,7904.0000,,,1409.0000,54.0000,70.0000,,932.0000,,9827.0000,14,A,52.7800
001045,06/30/2015,2015,2,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2015Q2,2015Q2,14109.0000,9666.0000,1642.0000,403.0000,5.9600,-10690.0000,10827.0000,-936.0000,8349.0000,,,3139.0000,-42.0000,140.0000,,2636.0000,,20654.0000,14,A,39.9350
001045,09/30/2015,2015,3,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2015Q3,2015Q3,13706.0000,9583.0000,1712.0000,401.0000,7.1800,-9096.0000,10706.0000,-455.0000,8141.0000,,,4621.0000,22.0000,206.0000,,4329.0000,,31360.0000,14,A,38.8300
001045,12/31/2015,2015,4,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,2015Q4,2015Q4,9985.0000,6949.0000,2231.0000,416.0000,11.3900,-5962.0000,9630.0000,-3620.0000,7696.0000,-705.0000,173.0000,6151.0000,-604.0000,278.0000,,7610.0000,352.0000,40990.0000,14,A,42.3500
001078,03/31/2009,2009,1,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2009Q1,2009Q1,18007.8940,5703.7770,4157.1340,464.0450,3.3900,13434.2130,6718.3680,6237.6230,4979.5640,0.0000,,252.1510,762.7730,559.0810,-198.7040,1438.6370,375.6650,6718.3680,11,A,47.7000
001078,06/30/2009,2009,2,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2009Q2,2009Q2,19628.3760,6887.9430,4367.9350,537.3980,3.3600,15290.0460,7494.8760,7585.9950,5204.0580,0.0000,,514.8910,92.2820,1177.3080,-280.6100,2726.7420,427.2570,14213.2440,11,A,47.0400
001078,09/30/2009,2009,3,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2009Q3,2009Q3,21415.8420,8695.1520,4113.8350,540.7140,3.6100,16651.2220,7761.3360,8891.3350,5443.8690,0.0000,,843.6010,763.8930,1795.6840,-86.2510,4207.1090,510.2490,21974.5800,11,A,49.4700
001078,12/31/2009,2009,4,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2009Q4,2009Q4,23313.8910,9932.0480,5225.7250,547.3530,3.7100,17908.1010,8790.1270,10264.4020,6093.9650,-761.6040,,1089.0480,4697.3170,2414.4600,230.5550,5745.8380,-387.7490,30764.7070,11,A,53.9900
001078,03/31/2010,2010,1,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2010Q1,2010Q1,17690.6780,3692.0730,6448.5200,562.5010,3.4200,16392.1860,7698.3540,2507.1930,5561.3700,0.0000,,245.1430,-7242.5190,620.7520,-49.6310,1003.0150,291.6380,7698.3540,11,A,52.6800
001078,06/30/2010,2010,2,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2010Q2,2010Q2,19915.3070,6243.7140,5868.3940,675.2020,3.4200,15349.0320,8826.0140,5226.0470,6216.8460,-139.4130,,518.6570,-4487.6370,1299.9510,-25.8310,2294.6650,245.8350,16524.3680,11,A,46.7800
001078,09/30/2010,2010,3,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2010Q3,2010Q3,19447.4200,5721.7580,5806.3720,677.0240,3.0500,16697.8980,8674.5050,3863.5490,5936.2960,565.8490,,723.7420,-4991.1940,1979.3740,-52.8840,3185.3250,476.2090,25198.8730,11,A,52.2400
001078,12/31/2010,2010,4,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2010Q4,2010Q4,22317.5290,7323.9400,6394.7660,709.5780,2.9800,17560.2550,9967.8480,5055.0950,6789.1230,1125.6780,,1015.0750,-5160.9680,2671.4750,139.8570,4626.1720,-394.6650,35166.7210,11,A,47.9100
001078,03/31/2011,2011,1,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2011Q1,2011Q1,23647.1320,8375.8390,6251.9630,745.6670,2.9000,19505.8020,9040.8500,6422.0290,6520.0340,0.0000,,391.8130,-908.2150,683.9670,44.7840,863.8180,298.9530,9040.8500,11,A,49.0500
001078,06/30/2011,2011,2,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2011Q2,2011Q2,24132.1780,8893.4990,5591.3500,811.4120,3.3100,21086.8950,9616.2910,8292.2500,6624.9260,0.0000,,764.7700,428.6470,1434.3760,49.9790,2806.6000,515.8880,18657.1410,11,A,52.6200
001078,09/30/2011,2011,3,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2011Q3,2011Q3,23094.4160,7976.5020,3624.5610,838.3860,2.9200,19192.1660,9816.6650,7680.4550,6714.4010,0.0000,,1216.7650,1400.9280,2186.0060,47.5210,3109.7810,272.5300,28473.8060,11,A,51.1400
001078,12/31/2011,2011,4,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2011Q4,2011Q4,23768.7740,8097.3590,3374.7550,648.4290,3.0300,18310.1770,10377.4530,8288.5460,6951.5560,2202.9180,,1491.5000,3164.4490,2938.0960,-129.6210,4728.4490,-670.1520,38851.2590,11,A,56.2300
001078,03/31/2012,2012,1,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2012Q1,2012Q1,25602.1310,9526.5610,4785.4350,563.8010,2.6800,19373.3460,5283.6850,8816.2080,4038.6990,0.0000,,453.3300,-2466.9100,758.5480,-170.6870,1242.1240,132.4820,5283.6850,11,A,61.2900
001078,06/30/2012,2012,2,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2012Q2,2012Q2,26257.4920,11002.1380,6082.9230,870.9010,1.7000,18684.3810,5313.2970,9137.0250,3768.2060,0.0000,,878.4460,239.9560,1565.5320,-379.4780,2966.7360,743.5120,10596.9820,11,A,64.4700
001078,09/30/2012,2012,3,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2012Q3,2012Q3,27264.2440,11504.5220,4224.9910,759.7280,1.7300,20570.8410,5264.7870,10978.2660,4195.0420,0.0000,,1409.1930,1184.1280,2370.9370,-465.4700,4909.5390,689.2920,15861.7690,11,A,68.5600
001078,12/31/2012,2012,4,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2012Q4,2012Q4,31322.5830,15173.9840,2390.6620,587.5700,0.3600,20557.3180,5632.2310,18042.4070,4437.0530,-169.5070,,1795.2890,3989.3430,3182.8110,-417.0530,5963.0000,35.9960,21494.0000,11,A,65.5000
001078,03/31/2013,2013,1,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2013Q1,2013Q1,19096.8680,8517.3130,3635.8500,420.8530,0.4900,17167.8100,5377.8950,8690.5420,4342.2540,0.0000,,274.4650,-6429.0430,223.5610,-131.9900,544.6610,-9.7510,5377.8950,11,A,35.3200
001078,06/30/2013,2013,2,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2013Q2,2013Q2,19831.1240,9393.5920,4523.7780,436.1470,0.4300,17092.4670,4440.1050,8911.5100,3586.7460,0.0000,,564.8840,-5229.9090,444.0970,-232.2470,1021.0000,-90.8230,9818.0000,11,A,34.8800
001078,09/30/2013,2013,3,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2013Q3,2013Q3,19748.9490,8605.4840,4859.8760,436.0000,0.6300,18711.5680,4825.0000,8417.2840,3912.0000,0.0000,,841.3410,-7919.7090,663.7840,-242.0320,1987.0000,21.7900,14643.0000,11,A,33.1900
001078,12/31/2013,2013,4,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2013Q4,2013Q4,19247.0000,8098.0000,3173.0000,426.0000,1.2700,19967.0000,5014.0000,9740.0000,3960.0000,-305.0000,,1145.0000,-7327.0000,882.0000,-154.0000,2576.0000,-113.0000,19657.0000,11,A,38.3300
001078,03/31/2014,2014,1,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2014Q1,2014Q1,17931.0000,7047.0000,4378.0000,398.0000,1.0600,20071.0000,4755.0000,7745.0000,3802.0000,0.0000,,255.0000,-1415.0000,343.0000,-90.0000,375.0000,82.0000,4755.0000,11,A,38.5100
001078,06/30/2014,2014,2,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2014Q2,2014Q2,18258.0000,7062.0000,3962.0000,400.0000,1.1400,20185.0000,5057.0000,8405.0000,3857.0000,0.0000,,513.0000,95.0000,676.0000,-141.0000,840.0000,-76.0000,9812.0000,11,A,40.9000
001078,09/30/2014,2014,3,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2014Q3,2014Q3,16464.0000,4877.0000,4582.0000,355.0000,1.0200,19360.0000,5079.0000,5641.0000,4082.0000,0.0000,,790.0000,138.0000,1007.0000,-203.0000,1377.0000,-173.0000,14891.0000,11,A,41.5900
001078,12/31/2014,2014,4,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2014Q4,2014Q4,15261.0000,4460.0000,4437.0000,356.0000,1.1300,17821.0000,5356.0000,4729.0000,4070.0000,-195.0000,,1077.0000,588.0000,1342.0000,-297.0000,2284.0000,-195.0000,20247.0000,11,A,45.0200
001078,03/31/2015,2015,1,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2015Q1,2015Q1,19985.0000,9849.0000,2972.0000,358.0000,1.3400,19133.0000,4897.0000,10779.0000,3856.0000,0.0000,,235.0000,-837.0000,364.0000,-128.0000,2292.0000,-90.0000,4897.0000,11,A,46.3300
001078,06/30/2015,2015,2,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2015Q2,2015Q2,21131.0000,11177.0000,2899.0000,340.0000,1.5800,20158.0000,5170.0000,11946.0000,3979.0000,0.0000,,451.0000,-15.0000,724.0000,-210.0000,3076.0000,-125.0000,10067.0000,11,A,49.0800
001078,09/30/2015,2015,3,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2015Q3,2015Q3,15894.0000,6139.0000,2402.0000,374.0000,1.6900,18164.0000,5150.0000,7139.0000,3915.0000,0.0000,,862.0000,-931.0000,1083.0000,-213.0000,3656.0000,-151.0000,15217.0000,11,A,40.2200
001078,12/31/2015,2015,4,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,,USD,2015Q4,2015Q4,14155.0000,6125.0000,3130.0000,400.0000,1.7300,19099.0000,5188.0000,4969.0000,3811.0000,-685.0000,,1110.0000,938.0000,1443.0000,-257.0000,4423.0000,-171.0000,20405.0000,11,A,44.9100
001161,03/31/2009,2009,1,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2009Q1,2009Q1,3971.0000,2719.0000,281.0000,280.0000,-4.1300,-6550.0000,1177.0000,1892.0000,1135.0000,-34.0000,-158.0000,84.0000,1469.0000,0.0000,117.0000,-408.0000,-187.0000,1177.0000,14,A,3.0500
001161,06/30/2009,2009,2,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2009Q2,2009Q2,3713.0000,2514.0000,289.0000,282.0000,-3.4600,-6870.0000,1184.0000,1691.0000,1150.0000,-70.0000,-181.0000,196.0000,1046.0000,0.0000,163.0000,-718.0000,-295.0000,2361.0000,14,A,3.8700
001161,09/30/2009,2009,3,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2009Q3,2009Q3,3918.0000,2511.0000,295.0000,282.0000,-3.6600,-6988.0000,1396.0000,1842.0000,1187.0000,-44.0000,-142.0000,293.0000,914.0000,0.0000,141.0000,-824.0000,-611.0000,3757.0000,14,A,5.6600
001161,12/31/2009,2009,4,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2009Q4,2009Q4,4275.0000,2676.0000,479.0000,284.0000,0.4600,-5785.0000,1646.0000,2065.0000,1316.0000,-35.0000,-105.0000,466.0000,724.0000,0.0000,89.0000,376.0000,-960.0000,5403.0000,14,A,9.6800
001161,03/31/2010,2010,1,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2010Q1,2010Q1,3331.0000,1936.0000,157.0000,100.0000,1.3700,-5660.0000,1574.0000,1686.0000,1361.0000,-2.0000,,48.0000,-1015.0000,0.0000,-89.0000,257.0000,-134.0000,1574.0000,14,A,9.2700
001161,06/30/2010,2010,2,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2010Q2,2010Q2,3313.0000,1900.0000,162.0000,100.0000,1.8000,-5718.0000,1653.0000,1683.0000,1432.0000,37.0000,-63.0000,79.0000,-573.0000,0.0000,-93.0000,214.0000,-388.0000,3227.0000,14,A,7.3200
001161,09/30/2010,2010,3,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2010Q3,2010Q3,3212.0000,1730.0000,212.0000,94.0000,1.8100,-5831.0000,1618.0000,1547.0000,1396.0000,-42.0000,,110.0000,-1037.0000,0.0000,-134.0000,96.0000,-673.0000,4845.0000,14,A,7.1100
001161,12/31/2010,2010,4,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2010Q4,2010Q4,3594.0000,1789.0000,233.0000,89.0000,0.6600,-5467.0000,1649.0000,1920.0000,1430.0000,-215.0000,,148.0000,-1051.0000,0.0000,-144.0000,471.0000,-1138.0000,6494.0000,14,A,8.1800
001161,03/31/2011,2011,1,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2011Q1,2011Q1,3411.0000,1745.0000,38.0000,88.0000,1.0000,-4956.0000,1613.0000,2036.0000,1442.0000,-111.0000,,38.0000,-4.0000,0.0000,-16.0000,510.0000,-189.0000,1613.0000,14,A,8.6000
001161,06/30/2011,2011,2,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2011Q2,2011Q2,3438.0000,1861.0000,4.0000,80.0000,1.1400,-4897.0000,1574.0000,2126.0000,1389.0000,-111.0000,,105.0000,-52.0000,0.0000,-10.0000,571.0000,-187.0000,3187.0000,14,A,6.9900
001161,09/30/2011,2011,3,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2011Q3,2011Q3,3412.0000,1807.0000,489.0000,79.0000,1.4400,-4808.0000,1690.0000,1557.0000,1473.0000,-72.0000,,163.0000,19.0000,0.0000,92.0000,668.0000,-337.0000,4877.0000,14,A,5.0800
001161,12/31/2011,2011,4,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2011Q4,2011Q4,3229.0000,1765.0000,489.0000,70.0000,0.6800,-4982.0000,1691.0000,1455.0000,1452.0000,-62.0000,,250.0000,263.0000,0.0000,157.0000,491.0000,-347.0000,6568.0000,14,A,5.4000
001161,03/31/2012,2012,1,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2012Q1,2012Q1,3195.0000,1544.0000,490.0000,63.0000,-0.8300,-5570.0000,1585.0000,848.0000,1385.0000,514.0000,,40.0000,324.0000,0.0000,-106.0000,-590.0000,-40.0000,1585.0000,14,A,8.0200
001161,06/30/2012,2012,2,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2012Q2,2012Q2,3233.0000,1579.0000,489.0000,65.0000,-0.8600,-5534.0000,1413.0000,881.0000,1266.0000,11.0000,484.0000,79.0000,146.0000,0.0000,-355.0000,-553.0000,177.0000,2998.0000,14,A,5.7300
001161,09/30/2012,2012,3,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2012Q3,2012Q3,2815.0000,1300.0000,5.0000,66.0000,-1.2000,-5689.0000,1269.0000,1260.0000,1331.0000,-105.0000,271.0000,111.0000,-93.0000,0.0000,-266.0000,-710.0000,237.0000,4267.0000,14,A,3.3700
001161,12/31/2012,2012,4,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2012Q4,2012Q4,2265.0000,1002.0000,5.0000,66.0000,-1.6000,-6163.0000,1155.0000,868.0000,1149.0000,13.0000,,133.0000,-320.0000,0.0000,-83.0000,-1183.0000,290.0000,5422.0000,14,A,2.4000
001161,03/31/2013,2013,1,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2013Q1,2013Q1,2338.0000,1003.0000,5.0000,66.0000,-0.9800,-6310.0000,1088.0000,1017.0000,1073.0000,-87.0000,,20.0000,-108.0000,0.0000,-52.0000,-146.0000,-14.0000,1088.0000,14,A,2.5500
001161,06/30/2013,2013,2,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2013Q2,2013Q2,2458.0000,968.0000,5.0000,59.0000,-1.1300,-6386.0000,1161.0000,1007.0000,1126.0000,-12.0000,,48.0000,-215.0000,0.0000,-149.0000,-220.0000,-39.0000,2249.0000,14,A,4.0800
001161,09/30/2013,2013,3,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2013Q3,2013Q3,2939.0000,1060.0000,5.0000,57.0000,-0.8600,-6334.0000,1461.0000,1177.0000,1331.0000,307.0000,,63.0000,-6.0000,0.0000,-360.0000,-172.0000,-242.0000,3710.0000,14,A,3.8100
001161,12/31/2013,2013,4,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2013Q4,2013Q4,2884.0000,1097.0000,60.0000,54.0000,-0.1100,-6245.0000,1589.0000,1266.0000,1448.0000,74.0000,,84.0000,320.0000,0.0000,-322.0000,-83.0000,-200.0000,5299.0000,14,A,3.8700
001161,03/31/2014,2014,1,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2014Q1,2014Q1,2690.0000,902.0000,60.0000,53.0000,0.0500,-6266.0000,1397.0000,1306.0000,1295.0000,-283.0000,,21.0000,-315.0000,0.0000,14.0000,-20.0000,-8.0000,1397.0000,14,A,4.0100
001161,06/30/2014,2014,2,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2014Q2,2014Q2,2932.0000,948.0000,101.0000,53.0000,0.1100,-6298.0000,1441.0000,1427.0000,1325.0000,-279.0000,,44.0000,-366.0000,0.0000,-76.0000,-56.0000,-40.0000,2838.0000,14,A,4.1900
001161,09/30/2014,2014,3,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2014Q3,2014Q3,3020.0000,938.0000,102.0000,49.0000,0.0700,-6283.0000,1429.0000,1454.0000,1317.0000,-303.0000,,73.0000,-229.0000,0.0000,-14.0000,-39.0000,-144.0000,4267.0000,14,A,3.4100
001161,12/31/2014,2014,4,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2014Q4,2014Q4,2736.0000,1040.0000,177.0000,48.0000,-0.5300,-6651.0000,1239.0000,1296.0000,1217.0000,-497.0000,,95.0000,-64.0000,0.0000,199.0000,-403.0000,7.0000,5506.0000,14,A,2.6700
001161,03/31/2015,2015,1,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2015Q1,2015Q1,2497.0000,906.0000,235.0000,46.0000,-0.7300,-6838.0000,1030.0000,1205.0000,1034.0000,-169.0000,,22.0000,-128.0000,0.0000,-6.0000,-180.0000,46.0000,1030.0000,14,A,2.6800
001161,06/30/2015,2015,2,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,,USD,2015Q2,2015Q2,2451.0000,829.0000,235.0000,45.0000,-0.9100,-7012.0000,942.0000,1052.0000,1001.0000,-86.0000,,39.0000,24.0000,0.0000,-117.0000,-361.0000,129.0000,1972.0000,14,A,2.4000
